Index,Sentiment
314,HATE
315,HATE
316,ROMANTIC
317,ROMANTIC
318,ROMANTIC
319,HATE
320,ROMANTIC
321,HATE
322,ROMANTIC
323,HATE
324,ROMANTIC
325,ROMANTIC
326,ROMANTIC
327,ROMANTIC
328,ROMANTIC
329,HATE
330,ROMANTIC
331,ROMANTIC
332,ROMANTIC
333,HATE
334,ROMANTIC
335,HATE
336,ROMANTIC
337,ROMANTIC
338,ROMANTIC
339,ROMANTIC
340,ROMANTIC
341,ROMANTIC
342,HATE
343,ROMANTIC
344,ROMANTIC
345,ROMANTIC
346,ROMANTIC
347,HATE
348,ROMANTIC
349,ROMANTIC
350,ROMANTIC
351,HATE
352,ROMANTIC
353,ROMANTIC
354,ROMANTIC
355,HATE
356,ROMANTIC
357,HATE
358,ROMANTIC
359,ROMANTIC
360,ROMANTIC
361,ROMANTIC
362,ROMANTIC
363,ROMANTIC
364,HATE
365,HATE
366,HATE
367,ROMANTIC
368,HATE
369,ROMANTIC
370,ROMANTIC
371,HATE
372,HATE
373,HATE
374,ROMANTIC
375,ROMANTIC
376,ROMANTIC
377,HATE
378,HATE
379,ROMANTIC
380,HATE
381,ROMANTIC
382,HATE
383,ROMANTIC
384,ROMANTIC
385,ROMANTIC
386,HATE
387,ROMANTIC
388,ROMANTIC
389,ROMANTIC
390,ROMANTIC
391,ROMANTIC
392,HATE
393,ROMANTIC
394,ROMANTIC
395,ROMANTIC
396,HATE
397,HATE
398,ROMANTIC
399,ROMANTIC
400,ROMANTIC
401,HATE
402,ROMANTIC
403,HATE
404,ROMANTIC
405,HATE
406,HATE
407,ROMANTIC
408,HATE
409,ROMANTIC
410,HATE
411,ROMANTIC
412,ROMANTIC
413,ROMANTIC
414,ROMANTIC
415,ROMANTIC
416,ROMANTIC
417,ROMANTIC
418,ROMANTIC
419,HATE
420,ROMANTIC
421,ROMANTIC
422,ROMANTIC
423,ROMANTIC
424,HATE
425,HATE
426,ROMANTIC
427,ROMANTIC
428,ROMANTIC
429,HATE
430,ROMANTIC
431,HATE
432,ROMANTIC
433,HATE
434,ROMANTIC
435,ROMANTIC
436,HATE
437,HATE
438,HATE
439,ROMANTIC
440,HATE
441,HATE
442,HATE
443,HATE
444,ROMANTIC
445,ROMANTIC
446,ROMANTIC
447,ROMANTIC
448,HATE
449,HATE
450,HATE
451,HATE
452,HATE
453,ROMANTIC
454,ROMANTIC
455,HATE
456,ROMANTIC
457,ROMANTIC
458,ROMANTIC
459,ROMANTIC
460,HATE
461,ROMANTIC
462,ROMANTIC
463,ROMANTIC
464,ROMANTIC
465,ROMANTIC
466,ROMANTIC
467,ROMANTIC
468,ROMANTIC
469,HATE
470,HATE
471,HATE
472,HATE
473,HATE
474,ROMANTIC
475,ROMANTIC
476,HATE
477,ROMANTIC
478,HATE
479,ROMANTIC
480,ROMANTIC
481,ROMANTIC
482,HATE
483,HATE
484,ROMANTIC
485,HATE
486,ROMANTIC
487,ROMANTIC
488,ROMANTIC
489,ROMANTIC
490,HATE
491,ROMANTIC
492,HATE
493,ROMANTIC
494,ROMANTIC
495,ROMANTIC
496,HATE
497,ROMANTIC
498,ROMANTIC
499,ROMANTIC
500,ROMANTIC
501,ROMANTIC
502,ROMANTIC
503,HATE
504,HATE
505,ROMANTIC
506,ROMANTIC
507,HATE
508,ROMANTIC
509,ROMANTIC
510,HATE
511,HATE
512,ROMANTIC
513,HATE
514,HATE
515,HATE
516,HATE
517,HATE
518,HATE
519,HATE
520,ROMANTIC
521,HATE
522,HATE
523,HATE
524,HATE
525,HATE
526,HATE
527,HATE
528,HATE
529,ROMANTIC
530,ROMANTIC
531,ROMANTIC
532,ROMANTIC
533,ROMANTIC
534,ROMANTIC
535,ROMANTIC
536,ROMANTIC
537,HATE
538,HATE
539,ROMANTIC
540,ROMANTIC
541,HATE
542,HATE
543,HATE
544,ROMANTIC
545,ROMANTIC
546,ROMANTIC
547,HATE
548,ROMANTIC
549,HATE
550,HATE
551,HATE
552,ROMANTIC
553,ROMANTIC
554,HATE
555,ROMANTIC
556,ROMANTIC
557,HATE
558,ROMANTIC
559,ROMANTIC
560,ROMANTIC
561,ROMANTIC
562,ROMANTIC
563,ROMANTIC
564,HATE
565,ROMANTIC
566,ROMANTIC
567,HATE
568,ROMANTIC
569,HATE
570,ROMANTIC
571,ROMANTIC
572,ROMANTIC
573,HATE
574,ROMANTIC
575,ROMANTIC
576,ROMANTIC
577,HATE
578,ROMANTIC
579,HATE
580,ROMANTIC
581,HATE
582,ROMANTIC
583,HATE
584,ROMANTIC
585,HATE
586,HATE
587,ROMANTIC
588,HATE
589,ROMANTIC
590,ROMANTIC
591,HATE
592,ROMANTIC
593,ROMANTIC
594,HATE
595,ROMANTIC
596,ROMANTIC
597,HATE
598,HATE
599,HATE
600,HATE
601,HATE
602,HATE
603,ROMANTIC
604,ROMANTIC
605,ROMANTIC
606,HATE
607,ROMANTIC
608,HATE
609,ROMANTIC
610,HATE
611,ROMANTIC
612,ROMANTIC
613,ROMANTIC
614,HATE
615,ROMANTIC
616,ROMANTIC
617,ROMANTIC
618,HATE
619,HATE
620,HATE
621,HATE
622,HATE
623,HATE
624,ROMANTIC
625,HATE
626,ROMANTIC
627,ROMANTIC
628,ROMANTIC
629,ROMANTIC
630,ROMANTIC
631,HATE
632,HATE
633,HATE
634,ROMANTIC
635,HATE
636,HATE
637,ROMANTIC
638,ROMANTIC
639,HATE
640,ROMANTIC
641,HATE
642,ROMANTIC
643,ROMANTIC
644,ROMANTIC
645,ROMANTIC
646,ROMANTIC
647,ROMANTIC
648,ROMANTIC
649,ROMANTIC
650,ROMANTIC
651,ROMANTIC
652,ROMANTIC
653,ROMANTIC
654,ROMANTIC
655,ROMANTIC
656,HATE
657,HATE
658,HATE
659,ROMANTIC
660,HATE
661,ROMANTIC
662,ROMANTIC
663,ROMANTIC
664,ROMANTIC
665,ROMANTIC
666,HATE
667,ROMANTIC
668,ROMANTIC
669,HATE
670,ROMANTIC
671,HATE
672,ROMANTIC
673,ROMANTIC
674,ROMANTIC
675,HATE
676,ROMANTIC
677,ROMANTIC
678,ROMANTIC
679,HATE
680,HATE
681,HATE
682,ROMANTIC
683,ROMANTIC
684,HATE
685,HATE
686,HATE
687,ROMANTIC
688,ROMANTIC
689,HATE
690,ROMANTIC
691,ROMANTIC
692,ROMANTIC
693,ROMANTIC
694,ROMANTIC
695,ROMANTIC
696,HATE
697,HATE
698,ROMANTIC
699,HATE
700,HATE
701,HATE
702,ROMANTIC
703,ROMANTIC
704,ROMANTIC
705,ROMANTIC
706,ROMANTIC
707,HATE
708,HATE
709,HATE
710,ROMANTIC
711,ROMANTIC
712,ROMANTIC
713,HATE
714,HATE
715,HATE
716,ROMANTIC
717,ROMANTIC
718,HATE
719,HATE
720,HATE
721,HATE
722,ROMANTIC
723,HATE
724,HATE
725,ROMANTIC
726,ROMANTIC
727,HATE
728,ROMANTIC
729,HATE
730,ROMANTIC
731,ROMANTIC
732,HATE
733,HATE
734,ROMANTIC
735,HATE
736,ROMANTIC
737,HATE
738,HATE
739,HATE
740,HATE
741,ROMANTIC
742,ROMANTIC
743,ROMANTIC
744,HATE
745,HATE
746,ROMANTIC
747,HATE
748,HATE
749,ROMANTIC
750,ROMANTIC
751,HATE
752,HATE
753,HATE
754,ROMANTIC
755,HATE
756,ROMANTIC
757,ROMANTIC
758,HATE
759,ROMANTIC
760,ROMANTIC
761,HATE
762,HATE
763,ROMANTIC
764,ROMANTIC
765,HATE
766,ROMANTIC
767,ROMANTIC
768,HATE
769,ROMANTIC
770,HATE
771,ROMANTIC
772,HATE
773,ROMANTIC
774,HATE
775,ROMANTIC
776,ROMANTIC
777,HATE
778,HATE
779,ROMANTIC
780,HATE
781,HATE
782,HATE
783,HATE
784,ROMANTIC
785,ROMANTIC
786,ROMANTIC
787,ROMANTIC
788,HATE
789,ROMANTIC
790,ROMANTIC
791,ROMANTIC
792,ROMANTIC
793,ROMANTIC
794,ROMANTIC
795,ROMANTIC
796,HATE
797,HATE
798,HATE
799,ROMANTIC
800,HATE
801,HATE
802,HATE
803,ROMANTIC
804,ROMANTIC
805,HATE
806,ROMANTIC
807,ROMANTIC
808,HATE
809,HATE
810,ROMANTIC
811,ROMANTIC
812,ROMANTIC
813,HATE
814,ROMANTIC
815,ROMANTIC
816,HATE
817,HATE
818,ROMANTIC
819,ROMANTIC
820,HATE
821,ROMANTIC
822,HATE
823,HATE
824,ROMANTIC
825,HATE
826,ROMANTIC
827,ROMANTIC
828,HATE
829,ROMANTIC
830,ROMANTIC
831,ROMANTIC
832,ROMANTIC
833,HATE
834,ROMANTIC
835,ROMANTIC
836,ROMANTIC
837,ROMANTIC
838,ROMANTIC
839,HATE
840,ROMANTIC
841,ROMANTIC
842,ROMANTIC
843,ROMANTIC
844,HATE
845,ROMANTIC
846,HATE
847,HATE
848,ROMANTIC
849,HATE
850,ROMANTIC
851,ROMANTIC
852,HATE
853,HATE
854,HATE
855,ROMANTIC
856,HATE
857,HATE
858,ROMANTIC
859,ROMANTIC
860,ROMANTIC
861,HATE
862,ROMANTIC
863,ROMANTIC
864,ROMANTIC
865,HATE
866,ROMANTIC
867,ROMANTIC
868,ROMANTIC
869,HATE
870,ROMANTIC
871,ROMANTIC
872,HATE
873,HATE
874,ROMANTIC
875,ROMANTIC
876,HATE
877,ROMANTIC
878,ROMANTIC
879,HATE
880,ROMANTIC
881,HATE
882,ROMANTIC
883,ROMANTIC
884,ROMANTIC
885,ROMANTIC
886,HATE
887,ROMANTIC
888,HATE
889,HATE
890,HATE
891,ROMANTIC
892,ROMANTIC
893,HATE
894,HATE
895,ROMANTIC
896,ROMANTIC
897,ROMANTIC
898,ROMANTIC
899,ROMANTIC
900,ROMANTIC
901,ROMANTIC
902,ROMANTIC
903,ROMANTIC
904,ROMANTIC
905,HATE
906,ROMANTIC
907,HATE
908,ROMANTIC
909,ROMANTIC
910,ROMANTIC
911,HATE
912,ROMANTIC
913,ROMANTIC
914,HATE
915,ROMANTIC
916,ROMANTIC
917,ROMANTIC
918,ROMANTIC
919,ROMANTIC
920,HATE
921,HATE
922,ROMANTIC
923,ROMANTIC
924,ROMANTIC
925,ROMANTIC
926,ROMANTIC
927,HATE
928,ROMANTIC
929,ROMANTIC
930,ROMANTIC
931,HATE
932,ROMANTIC
933,ROMANTIC
934,ROMANTIC
935,HATE
936,ROMANTIC
937,HATE
938,ROMANTIC
939,ROMANTIC
940,ROMANTIC
941,ROMANTIC
942,HATE
943,HATE
944,ROMANTIC
945,HATE
946,ROMANTIC
947,ROMANTIC
948,HATE
949,HATE
950,ROMANTIC
951,HATE
952,ROMANTIC
953,ROMANTIC
954,HATE
955,ROMANTIC
956,ROMANTIC
957,ROMANTIC
958,HATE
959,ROMANTIC
960,ROMANTIC
961,ROMANTIC
962,HATE
963,HATE
964,ROMANTIC
965,ROMANTIC
966,ROMANTIC
967,HATE
968,HATE
969,ROMANTIC
970,ROMANTIC
971,ROMANTIC
972,HATE
973,ROMANTIC
974,ROMANTIC
975,ROMANTIC
976,HATE
977,ROMANTIC
978,HATE
979,HATE
980,ROMANTIC
981,ROMANTIC
982,HATE
983,HATE
984,ROMANTIC
985,HATE
986,ROMANTIC
987,HATE
988,HATE
989,ROMANTIC
990,ROMANTIC
991,ROMANTIC
992,ROMANTIC
993,ROMANTIC
994,HATE
995,ROMANTIC
996,HATE
997,ROMANTIC
998,HATE
999,ROMANTIC
1000,HATE
1001,ROMANTIC
1002,HATE
1003,ROMANTIC
1004,HATE
1005,ROMANTIC
1006,HATE
1007,HATE
1008,HATE
1009,ROMANTIC
1010,ROMANTIC
1011,ROMANTIC
1012,ROMANTIC
1013,ROMANTIC
1014,HATE
1015,HATE
1016,HATE
1017,HATE
1018,HATE
1019,HATE
1020,ROMANTIC
1021,ROMANTIC
1022,ROMANTIC
1023,HATE
1024,ROMANTIC
1025,HATE
1026,ROMANTIC
1027,ROMANTIC
1028,HATE
1029,HATE
1030,HATE
1031,ROMANTIC
1032,HATE
1033,ROMANTIC
1034,HATE
1035,HATE
1036,HATE
1037,HATE
1038,ROMANTIC
1039,ROMANTIC
1040,HATE
1041,HATE
1042,ROMANTIC
1043,ROMANTIC
1044,HATE
1045,ROMANTIC
1046,ROMANTIC
1047,ROMANTIC
1048,ROMANTIC
1049,ROMANTIC
1050,ROMANTIC
1051,ROMANTIC
1052,HATE
1053,ROMANTIC
1054,ROMANTIC
1055,ROMANTIC
1056,ROMANTIC
1057,ROMANTIC
1058,ROMANTIC
1059,ROMANTIC
1060,ROMANTIC
1061,ROMANTIC
1062,ROMANTIC
1063,HATE
1064,HATE
1065,HATE
1066,ROMANTIC
1067,ROMANTIC
1068,ROMANTIC
1069,HATE
1070,ROMANTIC
1071,ROMANTIC
1072,ROMANTIC
1073,ROMANTIC
1074,HATE
1075,HATE
1076,HATE
1077,HATE
1078,ROMANTIC
1079,ROMANTIC
1080,ROMANTIC
1081,ROMANTIC
1082,ROMANTIC
1083,ROMANTIC
1084,ROMANTIC
1085,ROMANTIC
1086,ROMANTIC
1087,HATE
1088,ROMANTIC
1089,ROMANTIC
1090,HATE
1091,ROMANTIC
1092,ROMANTIC
1093,ROMANTIC
1094,ROMANTIC
1095,ROMANTIC
1096,HATE
1097,HATE
1098,ROMANTIC
1099,ROMANTIC
1100,ROMANTIC
1101,ROMANTIC
1102,ROMANTIC
1103,ROMANTIC
1104,ROMANTIC
1105,ROMANTIC
1106,ROMANTIC
1107,ROMANTIC
1108,HATE
1109,ROMANTIC
1110,HATE
1111,HATE
1112,ROMANTIC
1113,ROMANTIC
1114,ROMANTIC
1115,ROMANTIC
1116,ROMANTIC
1117,ROMANTIC
1118,ROMANTIC
1119,HATE
1120,HATE
1121,ROMANTIC
1122,HATE
1123,ROMANTIC
1124,HATE
1125,HATE
1126,HATE
1127,HATE
1128,ROMANTIC
1129,HATE
1130,HATE
1131,ROMANTIC
1132,HATE
1133,HATE
1134,HATE
1135,ROMANTIC
1136,HATE
1137,HATE
1138,HATE
1139,HATE
1140,ROMANTIC
1141,HATE
1142,HATE
1143,ROMANTIC
1144,HATE
1145,HATE
1146,HATE
1147,ROMANTIC
1148,HATE
1149,ROMANTIC
1150,ROMANTIC
1151,ROMANTIC
1152,ROMANTIC
1153,ROMANTIC
1154,HATE
1155,ROMANTIC
1156,HATE
1157,ROMANTIC
1158,HATE
1159,ROMANTIC
1160,HATE
1161,ROMANTIC
1162,HATE
1163,ROMANTIC
1164,HATE
1165,ROMANTIC
1166,ROMANTIC
1167,HATE
1168,ROMANTIC
1169,HATE
1170,HATE
1171,HATE
1172,ROMANTIC
1173,ROMANTIC
1174,ROMANTIC
1175,HATE
1176,ROMANTIC
1177,HATE
1178,HATE
1179,ROMANTIC
1180,ROMANTIC
1181,ROMANTIC
1182,ROMANTIC
1183,HATE
1184,ROMANTIC
1185,ROMANTIC
1186,HATE
1187,HATE
1188,HATE
1189,ROMANTIC
1190,ROMANTIC
1191,HATE
1192,HATE
1193,HATE
1194,ROMANTIC
1195,ROMANTIC
1196,HATE
1197,HATE
1198,HATE
1199,HATE
1200,HATE
1201,ROMANTIC
1202,ROMANTIC
1203,ROMANTIC
1204,HATE
1205,ROMANTIC
1206,ROMANTIC
1207,HATE
1208,ROMANTIC
1209,ROMANTIC
1210,ROMANTIC
1211,ROMANTIC
1212,ROMANTIC
1213,ROMANTIC
1214,HATE
1215,ROMANTIC
1216,HATE
1217,HATE
1218,ROMANTIC
1219,HATE
1220,ROMANTIC
1221,ROMANTIC
1222,ROMANTIC
1223,HATE
1224,ROMANTIC
1225,HATE
1226,HATE
1227,ROMANTIC
1228,HATE
1229,HATE
1230,ROMANTIC
1231,ROMANTIC
1232,HATE
1233,ROMANTIC
1234,HATE
1235,HATE
1236,HATE
1237,HATE
1238,HATE
1239,ROMANTIC
1240,HATE
1241,ROMANTIC
1242,ROMANTIC
1243,ROMANTIC
1244,ROMANTIC
1245,ROMANTIC
1246,ROMANTIC
1247,HATE
1248,HATE
1249,ROMANTIC
1250,HATE
1251,ROMANTIC
1252,HATE
1253,HATE
1254,HATE
1255,ROMANTIC
1256,HATE
1257,HATE
1258,HATE
1259,HATE
1260,ROMANTIC
1261,HATE
1262,ROMANTIC
1263,HATE
1264,HATE
1265,ROMANTIC
1266,HATE
1267,HATE
1268,HATE
1269,ROMANTIC
1270,ROMANTIC
1271,HATE
1272,ROMANTIC
1273,ROMANTIC
1274,ROMANTIC
1275,HATE
1276,HATE
1277,HATE
1278,HATE
1279,ROMANTIC
1280,ROMANTIC
1281,ROMANTIC
1282,ROMANTIC
1283,ROMANTIC
1284,ROMANTIC
1285,ROMANTIC
1286,HATE
1287,HATE
1288,ROMANTIC
1289,ROMANTIC
1290,ROMANTIC
1291,ROMANTIC
1292,ROMANTIC
1293,ROMANTIC
1294,ROMANTIC
1295,HATE
1296,ROMANTIC
1297,HATE
1298,HATE
1299,HATE
1300,HATE
1301,ROMANTIC
1302,ROMANTIC
1303,ROMANTIC
1304,ROMANTIC
1305,HATE
1306,HATE
1307,HATE
1308,ROMANTIC
1309,ROMANTIC
1310,HATE
1311,ROMANTIC
1312,HATE
1313,HATE
1314,ROMANTIC
1315,ROMANTIC
1316,ROMANTIC
1317,HATE
1318,ROMANTIC
1319,HATE
1320,ROMANTIC
1321,ROMANTIC
1322,ROMANTIC
1323,HATE
1324,ROMANTIC
1325,ROMANTIC
1326,ROMANTIC
1327,HATE
1328,ROMANTIC
1329,ROMANTIC
1330,ROMANTIC
1331,HATE
1332,ROMANTIC
1333,HATE
1334,ROMANTIC
1335,HATE
1336,ROMANTIC
1337,HATE
1338,ROMANTIC
1339,HATE
1340,ROMANTIC
1341,HATE
1342,HATE
1343,ROMANTIC
1344,ROMANTIC
1345,ROMANTIC
1346,ROMANTIC
1347,ROMANTIC
1348,ROMANTIC
1349,HATE
1350,HATE
1351,ROMANTIC
1352,HATE
1353,ROMANTIC
1354,HATE
1355,ROMANTIC
1356,ROMANTIC
1357,HATE
1358,ROMANTIC
1359,ROMANTIC
1360,ROMANTIC
1361,ROMANTIC
1362,HATE
1363,ROMANTIC
1364,HATE
1365,HATE
1366,ROMANTIC
1367,ROMANTIC
1368,ROMANTIC
1369,HATE
1370,HATE
1371,ROMANTIC
1372,ROMANTIC
1373,ROMANTIC
1374,HATE
1375,ROMANTIC
1376,HATE
1377,ROMANTIC
1378,HATE
1379,HATE
1380,ROMANTIC
1381,ROMANTIC
1382,ROMANTIC
1383,ROMANTIC
1384,HATE
1385,ROMANTIC
1386,ROMANTIC
1387,ROMANTIC
1388,HATE
1389,HATE
1390,ROMANTIC
1391,HATE
1392,ROMANTIC
1393,ROMANTIC
1394,ROMANTIC
1395,HATE
1396,ROMANTIC
1397,HATE
1398,ROMANTIC
1399,HATE
1400,ROMANTIC
1401,ROMANTIC
1402,HATE
1403,HATE
1404,ROMANTIC
1405,ROMANTIC
1406,HATE
1407,ROMANTIC
1408,HATE
1409,ROMANTIC
1410,ROMANTIC
1411,HATE
1412,HATE
1413,ROMANTIC
1414,ROMANTIC
1415,HATE
1416,ROMANTIC
1417,HATE
1418,ROMANTIC
1419,ROMANTIC
1420,ROMANTIC
1421,ROMANTIC
1422,ROMANTIC
1423,ROMANTIC
1424,ROMANTIC
1425,ROMANTIC
1426,HATE
1427,HATE
1428,HATE
1429,ROMANTIC
1430,HATE
1431,HATE
1432,HATE
1433,ROMANTIC
1434,ROMANTIC
1435,HATE
1436,HATE
1437,HATE
1438,ROMANTIC
1439,ROMANTIC
1440,ROMANTIC
1441,HATE
1442,HATE
1443,ROMANTIC
1444,HATE
1445,ROMANTIC
1446,HATE
1447,ROMANTIC
1448,ROMANTIC
1449,ROMANTIC
1450,ROMANTIC
1451,ROMANTIC
1452,HATE
1453,HATE
1454,ROMANTIC
1455,ROMANTIC
1456,HATE
1457,ROMANTIC
1458,ROMANTIC
1459,ROMANTIC
1460,ROMANTIC
1461,HATE
1462,ROMANTIC
1463,ROMANTIC
1464,ROMANTIC
1465,ROMANTIC
1466,HATE
1467,HATE
1468,ROMANTIC
1469,HATE
1470,HATE
1471,ROMANTIC
1472,ROMANTIC
1473,HATE
1474,ROMANTIC
1475,ROMANTIC
1476,ROMANTIC
1477,ROMANTIC
1478,ROMANTIC
1479,ROMANTIC
1480,ROMANTIC
1481,ROMANTIC
1482,ROMANTIC
1483,HATE
1484,HATE
1485,HATE
1486,HATE
1487,ROMANTIC
1488,HATE
1489,HATE
1490,ROMANTIC
1491,HATE
1492,HATE
1493,ROMANTIC
1494,HATE
1495,ROMANTIC
1496,HATE
1497,ROMANTIC
1498,HATE
1499,HATE
1500,ROMANTIC
1501,ROMANTIC
1502,ROMANTIC
1503,ROMANTIC
1504,HATE
1505,ROMANTIC
1506,ROMANTIC
1507,ROMANTIC
1508,HATE
1509,HATE
1510,ROMANTIC
1511,HATE
1512,ROMANTIC
1513,ROMANTIC
1514,ROMANTIC
1515,HATE
1516,ROMANTIC
1517,HATE
1518,HATE
1519,HATE
1520,ROMANTIC
1521,HATE
1522,HATE
1523,HATE
1524,ROMANTIC
1525,HATE
1526,ROMANTIC
1527,ROMANTIC
1528,HATE
1529,HATE
1530,HATE
1531,HATE
1532,ROMANTIC
1533,HATE
1534,ROMANTIC
1535,ROMANTIC
1536,ROMANTIC
1537,HATE
1538,ROMANTIC
1539,ROMANTIC
1540,HATE
1541,ROMANTIC
1542,ROMANTIC
1543,ROMANTIC
1544,ROMANTIC
1545,ROMANTIC
1546,HATE
1547,ROMANTIC
1548,ROMANTIC
1549,HATE
1550,HATE
1551,ROMANTIC
1552,ROMANTIC
1553,ROMANTIC
1554,ROMANTIC
1555,HATE
1556,HATE
1557,ROMANTIC
1558,HATE
1559,ROMANTIC
1560,HATE
1561,ROMANTIC
1562,ROMANTIC
1563,ROMANTIC
1564,ROMANTIC
1565,ROMANTIC
1566,ROMANTIC
1567,HATE
1568,HATE
1569,ROMANTIC
1570,ROMANTIC
1571,ROMANTIC
1572,HATE
1573,ROMANTIC
1574,ROMANTIC
1575,HATE
1576,ROMANTIC
1577,ROMANTIC
1578,HATE
1579,ROMANTIC
1580,ROMANTIC
1581,ROMANTIC
1582,ROMANTIC
1583,ROMANTIC
1584,HATE
1585,HATE
1586,ROMANTIC
1587,HATE
1588,HATE
1589,HATE
1590,HATE
1591,HATE
1592,HATE
1593,ROMANTIC
